@relation abalone-20_vs_8-9-10-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute Sex {M,F,I}
@attribute Length {'\'All\''}
@attribute Diameter {'\'(-inf-0.3975]\'','\'(0.3975-inf)\''}
@attribute Height {'\'(-inf-0.1525]\'','\'(0.1525-inf)\''}
@attribute Whole_weight {'\'(-inf-0.71]\'','\'(0.71-inf)\''}
@attribute Shucked_weight {'\'All\''}
@attribute Viscera_weight {'\'(-inf-0.13875]\'','\'(0.13875-inf)\''}
@attribute Shell_weight {'\'(-inf-0.35775]\'','\'(0.35775-inf)\''}
@attribute Class {positive,negative}

@data
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
M,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
M,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(0.35775-inf)\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(-inf-0.71]\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(-inf-0.3975]\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(-inf-0.13875]\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
I,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(-inf-0.71]\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
F,'\'All\'','\'(0.3975-inf)\'','\'(-inf-0.1525]\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
M,'\'All\'','\'(0.3975-inf)\'','\'(0.1525-inf)\'','\'(0.71-inf)\'','\'All\'','\'(0.13875-inf)\'','\'(-inf-0.35775]\'',negative
